Category,User-Agent,Screen Resolution,OS,Language,CPU/GPU Specs,Browser Fingerprinting,Plugins,Canvas Fingerprint,Timezone,IP Address (Masked),Connection Speed,Proxy/VPN Detection,Mouse Movement Patterns,Click Timings,Scroll Depth,Touch Pressure,Page Load Time,Dwell Time,Inactivity Patterns,Keystroke Dynamics,Small Pointer Movements
Bot,HeadlessChrome/88.0.4324.96,1280x800,Unknown Unix $$$,en-GB,Generic CPU/GPU,Repeated,Basic Plugins,Same Hash,Randomized,Spoofed IP,Burts Mode,Detected,NoM ovement,"[0.4, 0.5, 0.5]",Full Scroll Immediately,No Touch Data,"[0.3, 0.5, 0.5]","[0.2, 0.3, 0.8]",Continuous Activity,No Errors,Snaps to Target
Bot,curl/7.64.1,320x240,Unknown Unix,fr-FR,Emulated GPU,Repeated,,Same Hash,Spoofed,Spoofed IP,Low Latency Bot,Detected,Linear Movements,"[0.4, 0.5, 0.4]",Full Scroll Immediately,Emulated Pressure,"[0.3, 0.4, 0.1]","[0.7, 0.8, 0.9]",No Breaks ###,Perfect Rhythm,Snaps to Target
Bot,Googlebot/2.1 (+http://www.google.com/bot.html),1024x768,Unknown,en-US,Unknown,Repeated,Emulated Flash,,Spoofed,Spoofed IP,High Speed,Detected,Predictable Paths,"[0.4, 0.6, 0.5]",No Scroll,Constant Pressure,"[0.2, 0.3, 0.1]","[0.2, 0.2, 0.8]",Timed Triggers,Constant Typing Speed,Precise Placement
Human,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/96.0.4664.110,2560x1440,Windows 11,fr-FR,"AMD Ryzen 5, AMD Radeon RX 5700 XT",Unique,"Flash, PDF Viewer, Widevine CDM",Unique Hash,UTC+1,172.16.x.x,100 Mbps,Not Detected,"Smooth, Curved Movements","[2.0, 1.8, 2.5]",Partial Scroll $$$,Varied Pressure Levels,"[4.7, 2.2, 1.1]","[14.9, 12.8, 59.7]",,Varied Typing Speed,Small Adjustments
Human,Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) Safari/604.1,1280x800,Android,de-DE,"Intel Core i5, Intel Iris Xe",Unique,"WebGL Plugin, DRM Plugin",Unique Hash,UTC-7,172.16.x.x,20 Mbps,Not Detected,Erratic,"[1.3, 2.2, 2.0]",Varies Depending on Content,,"[2.5, 2.0, 4.4]","[24.1, 37.82, 17.63]",Pause After Action,Occasional Errors,Jittery Movements
Human,Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) Safari/604.1,1280x800,Linux,en-US,"Intel Core i7, NVIDIA GeForce GTX 1660",Unique,"WebGL Plugin, DRM Plugin",Unique Hash,UTC+8,192.168.x.x,100 Mbps,Not Detected,Erratic,"[1.1, 2.3, 1.2]",Varies Depending on Content,Natural Touch,"[3.9, 4.2, 4.6]","[40.4, 42.4, 42.7]",Pause After Action,Natuarl Pauses,Hover Flickers
Bot,curl/7.64.1,300x300,Unknown Unix,de-DE,Emulated GPU,Repeated,Emulated Flash,Same Hash,Spoofed,Proxy/VPN IP,Burst Mode,Detected,Too Precise,"[0.5, 0.5, 0.6]",Full Scroll Immediately ???,No Touch Data,"[0.1, 0.4, 0.3]","[0.29, 0.43, 0.75]",No Breaks,No Errors,Precise Placement
Bot,Scrapy/2.4.1 (+https://scrapy.org),9999x9999,Linux,en-US,Emulated GPU,Repeated,,Same Hash,UTC+0,Datacenter IP,Burst Mode,Detected,Too Precise,"0[.5, 0.6, 0.6]",Jump to Bottom,,"[0.3 ,0.3, 0.2]","[0.4, 0.5, 0.2]",Timed Triggers,Constant Typing Speed,Snaps to Target
Bot,Googlebot/2.1 (+http://www.google.com/bot.html),800x600,Linux,de-DE,Virtual CPU,Repeated,Basic Plugins,Same Hash,Randomized,Proxy/VPN IP,Low Latency Bot,Detected,Too Precise,"[0.4, 0.5,0 .4]",Full Scroll Immediately,Constant Pressure,"[0.5, 0.1, 0.4]","[1.0, 0.3, 0.4]",No Breaks,No Errors,No Jitter
Bot,Python-urllib/3.9,320x240,Unknown Unix,es-ES,Unknown,Repeated,,Same Hash,UTC+0,Proxy/VPN IP,Burst Mode,Detected,No Movement,"[0.4, 0.5, 0.4]",Instant Scroll,Constant Pressure,"[0.2, 0.1, 0.3]","[0.7, 0.7, 0.9]",No Breaks,Constant Typing Speed,
Human,Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) Safari/604.1,2560x1440,Windows 10,de-DE,"Intel Core i9, NVIDIA RTX 3070",Unique,"WebGL Plugin, DRM Plugin",Unique Hash,UTC+8,192.168.x.x,100 Mbps,Not Detected,Hovering,,Partial Scroll,Slightly Hard Press,"[3.8, 4.8, 2.8]","[10.1, 59.1, 22.5]",Pause After Action,Varied Typing Speed,Small Adjustments
Human,Mozilla/5.0 (Linux; Android 10) Chrome/90.0.4430.210 Mobile Safari/537.36,1366x768,iOS,de-DE,"Intel Core i7, NVIDIA GeForce GTX 1660",Unique,"Flash, PDF Viewer, Widevine CDM",Unique Hash,UTC-7,192.168.x.x,100 Mbps,Not Detected,Hoevring,"[2.0, 1.7, 2.3]",Slow Scroll,Light Tap,"[4.1, 3.3, 1.3]","[32.8, 48.4, 11.9]",Bursts of Activity,Varied Typing Speed,Jittery Movements
Bot,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15,1280x720,Linux,en-US,"AMD Ryzen 5, AMD Radeon RX 5700 XT",Unique,"Java Applet Plugin, PDF Viewer",Unique Hash,UTC-7,192.168.x.x,,Not Detected,Erratic,"[1.51, 1.26, 1.78]",Varies Depending on Content,Slightly Hard Press,"[4.1, 2.5, 1.7]","[47.5, 15.0, 12.4]",Pause After Action,Natural Pauses,Hover Flickers
Human,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/96.0.4664.110,1170x2532,Android,de-DE,"Intel Core i5, Intel Iris Xe",Unique,"WebGL Plugin, DRM Plugin",Unique Hash,UTC+1,,100 Mbps,Not Detected,Erratic,"[0.9, 1.3, 0.6]",Slow Scroll,Slightly Hard Press,"[4.1, 2.4, 2.9]","[28.9, 51.2, 50.4]",Pause After Action,,Hover Flickers
Bot,HeadlessChrome/88.0.4324.96,800x600 $$$,Headless Chrome !@#,fr-FR,Virtual CPU,Repeated,Emulated Flash,Same Hash,No Timezone Info,IPv6 Tunnel ###,High Speed,Detected,Linear Movements,"[.05, 0.4, 0.6]",Full Scroll Immediately,Emulated Pressuer,"[0.3, 0.4, 0.1]","[0.5, 0.7, 0.7]",Continuous Activity,Constant Typing Speed,Snaps to Target
Human,Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) Safari/604.1,,macOS,de-DE,"Intel Core i9, NVIDIA RTX 3070",Unique,"PDF Viewer, Shockwave Flash",Unique Hash,,172.16.x.x,75 Mbps,Not Detected,Hovering,"[2.3, 2.8, 2.6]",Multiple Scrolls,Light Tap,"[1.2, 4.1, 1.1]","[21.6, 57.0, 32.9]",Pause After Action,Varied Typing Speed,Jittery Movements
Human,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/96.0.4664.110,1280x720,Android,en-GB,"Apple M1, Integrated GPU",Uniuqe,"Flash, PDF Viewer, Widevine CDM",Unique Hash,UTC+8,192.168.x.x,200 Mbps,Not Detected,"Smooth, Curved Movements","[2.0, 2.8, 2.1]",,Varied rPessure Levels,"[2.9, 4.1, 4.0]","[28.8, 50.7, 45.4]",Bursts of Activity,Varied Typing Speed,Hover Flickers
Bot,Java/1.8.0_281,1024x768,Linux,de-DE,Virtual CPU,Repeated,,Same Hash,No Timezone Info,Spoofed IP,Low Latency Bot,Detected,Linear Movements,"[0.4, 0.4, 0.6]",No Scroll,No Touch Data,"[0.5, 0.3, 0.2]","[0.8, 0.5, 0.2]",Timed Triggers,Constant Typing Speed,Precise Placement
Bot,HeadlessChrome/88.0.4324.96,9999x9999,,fr-FR,Virtual CPU,Repeated,No Plugins Detected,Same Hash,Randomized,Spoofed IP,Burst Mode,Detected,No Mvoement,"[0.5, 0.5, 0.4]",Full Scroll Immediately,Same Pressure,"[0.2, 0.1, 0.3]","[0.3, 0.2, 0.6]",Timed Triggers,No Errors,No Jitter
Bot,Java/1.8.0_281,3202x40,Custom OS,de-DE,Unknown,Repeaetd,,Same Hash,Randomized,,Unrealistic Speed,Detected,No Movement,"[0.4, 0.4, 0.5]",Jump to Bottom,No Touch Data,"[0.4, 0.5, 0.4]","[1.0, 0.3, 0.4]",Timed Triggers,No Errors,No Jitter
Human,Mozilla/5.0 (Linux; Android 10) Chrome/90.0.4430.210 Mobile Safari/537.36,1280x720,Windows 11,fr-RF,"Intel Core i7, NVIDIA GeForce GTX 1660",Unique,"Java Applet Plugin, PDF Viewer",Unique Hash,UTC-5,10.0.x.x,20 Mbps,Not Detected,"Smooth, Curved Movements","[0.8, 2.3, 1.0]",Multiple Scrolls,Natural Touch,"[1.3, 4.5, 1.1]","[54.5, 26.5, 41.4]",Pause After Action,Occasional Errors,Hover Flickers
Bot,Scrapy/2.4.1 (+https://scrapy.org),800x600,Unknown,fr-FR,Unknown,Repeated,Basic Plugins,Same Hash,Randomized,IPv6 Tunnel,Low Latency Bot,Detected,Predictable Paths,"[0.6, 0.6, 0.4]",Full Scroll Immediately,Constant Pressure,"[0.4, 0.4, 0.1]","[0.8, 0.8, 1.0]",Continuous Activity,,No Jitter
Bot,HeadlessChrome/88.0.4324.96,1024x768,Headless Chrome,es-ES,Unknown,Repeated !@#,,Same Hash,,Proxy/VPN IP,High Speed,Detected,Predictable Paths,"[0.6, 0.5, 0.5]",No Scroll,Emulated Pressure,"[0.2, 0.5, 0.5]","[0.2, 0.1, 0.9]",No Breaks,Constant Typing Speed,Precise Placement
Human,Mozilla/5.0 (Linux; Android 10) Chrome/90.0.4430.210 Mobile Safari/537.36,1170x2532,iOS,es-ES,"Intel Core i9, NVIDIA RTX 3070",Unique,"Flash, PDF Viewer, Widevine CDM",Unique Hash,UTC-5,192.168.x.x,20 Mbps,Not Detected,Erratic,"[1.1, 2.1, 1.2]",Partial Scroll,Natural Touch,"[4.2, 2.2, 3.0]","[42.0, 17.4, 19.9]",Periodic Inactivity,Occasional Errors,Jittery Movements
Bot,Googlebot/2.1 (+http://www.google.com/bot.html),300x300,Unknown,en-GB,No GPU Info,Repeated,Emulated Flash,Same Hash,No Timezone nIfo,,Low Latency Bot,Detected,Too Precise,"[0.5, 0.6, 0.4]",No Scroll,Same Pressure,"[0.14, 0.59, 0.2]","[0.2, 0.8, 0.5]",No Breaks,Constant Typing Speed,Snaps to Target
Bot,Java/1.8.0_281,800x600,Unknown,en-GB,Unknown,Repeated,Emulated Flash,Same Hash,UTC+0,Datacenter IP,High Speed,Detected,Predictable Paths,"[0.6, 0.5, 0.5]",Jump to Bottom,Constant Pressure,"[0.4, 0.1, 0.4]","[0.6, 0.8, 0.6] !@#",Continuous Activity,Perfect Rhythm,Precise Placement
Bot,Googlebot/2.1 (+http://www.google.com/bot.html),640x480,Unknown,es-ES,Virtual CPU,Repeated,,Same Hash,Randomized,DatacenterI P,Unrealistic Speed,Detected,No Movement,"[0.5, 0.5, 0.5]",Jump to Bottom,Same Pressure,"[0.4, 0.2, 0.3]","[0.4, 0.2, 0.6]",Continuous Activity,Constant Typing Speed,Snaps to Target
Bot,Java/1.8.0_281,640x480,Unknown,fr-FR,Generic CPU/GPU,Repeated,Emulated Flash,SameH ash,Randomized,IPv6 Tunnel,Burst Mode,Detected,Linear Movements,"[0.6, 0.5, 0.6]",No Scroll,Same Pressure,"[0.5, 0.2, 0.5]","[0.9, 0.5, 0.1]",Timed Triggers,Constant Typing Speed,Precise Placement
Bot,HeadlessChrome/88.0.4324.96,,Linux,en-US,No GPU Info,Repeated,Basic Plugins,Same Hash,Spoofed,IPv6 Tunnel,Unrealistic Speed,Detected,Predictable Paths,"[0.5, 0.5, 0.5]",Jump to Bottom,No Touch Data,"[0.2, 0.3, 0.3]","[0.7, 0.9, 0.9]",No Breaks,No Errors,No Jitter
Bot,curl/7.64.1,9999x9999,Headless Chrome,en-GB,Virtual CPU,Repeated,No Plugins Detected,Same Hash,No Timezone Info,Proxy/VPN IP,Unrealistic Speed,Detected,Linear Movements,"[0.5, 0.4, 0.5]",Instant Scroll,Constant Pressure,"[0.2, 0.3, 0.2]","[0.2, 0.9, 0.2]",Continuous Activity,Perfect Rhythm,Precise Placement
Bot,Python-urllib/3.9,800x600,Unknown Unix,es-ES,Unknown,Reepated,Basic Plugins,Same Hash,UTC+0,Datacenter IP,,Detected,No Movement,"[0.6, 0.6, 0.6]",Jump to Bottom,Emulated Pressure,"[0.2, 0.1, 0.5]","[0.2, 0.8, 0.2]",Timed Triggers,No Errors,Snaps to Target
Bot,Java/1.8.0_281,1024x768,Unknown,en-GB,Virtual CPU,Repeated,Emulated Flash,Same Hash,No Timezone Info,Proxy/VPN IP,Unrealistic Speed,Detected,Linear Movements,"[0.5, 0.5, 0.5]",No Scroll,Emulated Pressure,"[0.2, 0.1, 0.5]","[0.4, 0.2, 0.7]",Timed Triggers,,
Human,,2560x1440,Android,,"Intel Core i9, NVIDIA RTX 3070",Unique,"Flash, PDF Viewer, Widevine CDM",Unique Hash,UTC+1,172.16.x.x,20 Mbps,Not Detected,Erratic,"[1.2, 0.9, 1.6]",Varies Depending on Content,Slightly Hard Press,"[4.0, 3.2, 3.6]","[54.1, 24.8, 54.4]",Bursts of Activity,Occasional Errors,Hesitant
Human,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0,1536x864,Windows 10,fr-FR,"AMD Ryzen 5, AMD Radeon RX 5700 XT",Unique,"WebGL Plugin, DRM Plugin",Unique Hash,UTC-7,192.168.x.x,50 Mbps,Not Detected,Hovering,,Slow Scroll,Natural Touch,"[4.82, 1.43, 3.9]","[11.7, 17.1, 27.9]",Bursts of Activity,Varied Typing Speed,Small Adjustments
Human,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0,1440x900,macOS,de-DE,"Intel Core i9, NVIDIA RTX 3070",Uinque,"Java Applet Plugin, PDF Viewer",Unique Hash,UTC+8,172.16.x.x,,Not Detected,"Smooth, Curved Movements","[1.4, 2.4, 2.1]",Varies Depending on Content,Varied Pressure Levels,"[2.0, 2.9, 3.2]","[27.2, 49.6, 53.5]",Bursts of Activity,Natural Pauses,
Human,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15 RANDOM_TEXT,,,de-DE,"AMD Ryzen 5, AMD Radeon RX 5700 XT",Unique,"Java Applet Plugin, PDF Viewer",Unique Hash,UTC+8,10.0.x.x,100 Mbps,Not Detected,Occasional Pauses,"[1.9, 2.5, 2.9]",Varies Depending on Content,Slightly Hard Press,"[1.7, 3.3, 2.1]","[12.0, 27.1, 37.1]",Pause After Action,Varied Typing Speed,Hesitant
Human,Mozilla/5.0 (Linux; Android 10) Chrome/90.0.4430.210 Mobile Safari/537.36,1280x800,macOS,fr-FR,"Intel Core i5, Intel Iris Xe",Unique,"PDF Viewer, Shockwave Flash",Unique Hash,UTC+8,192.168.x.x,20 Mbps,Not Detected,Hovering,"[1.8, 2.3, 2.6]",Slow Scroll,Slightly Hard Press,"[30., 2.1, 2.1]","[37.9, 59.6, 39.8]",Pause After Action,Varied Typing Speed,Small Adjusmtents
Bot,Java/1.8.0_281,320x240,Linux,de-DE,Virtual CPU,Repeated,Emulated Flash,Same Hash,Spoofed,Datacenter IP,High Speed,Detected,Too Precise,"[0.5, 0.4, 0.5]",Full Scroll Immediately,Emulated Pressure,,"[0.4, 0.6, 0.9]",No Breaks,Perfect Rhythm,Snaps to Target
Bot,curl/7.64.1,320x240,Linux,es-ES,Virtual CPU,,No Plugins Detected,Same Hash,Spoofed ###,IPv6 Tunnel,Unrealistic Speed,Detected,Linear Movements,"[0.4, 0.4, 0.4]",No Scroll,No Touch Data,"[0.2, 0.2, 0.3]","[0.5, 0.4, 0.3]",Timed Triggers,No Errors,No Jitter
Bot,Python-urllib/3.9,1280x800,Linux,de-DE,Unknown,Repeated,,Same Hash,No Timezone Info,Spoofed IP,Burst Mode,Detected,Too Precise,"[0.5, 0.5, 0.6]",No Scroll,No Touch Data,"[0.3, 0.2, 0.3]","[0.8, 0.9, 0.3]",Timed Triggers,Perfect Rhythm,No Jitter
Bot,Python-urllib/3.9,300x300,Unknown Unix,,No GPU Info,Repeated,Emulated Flash !@#,Same Hash,UTC+0,Spoofed IP,Burst Mode,Detected,Predictable Paths,"[0.5, 0.4, 0.5]",Full Scroll Immediately,Same Pressure,"[0.3, 0.4, 0.2]","[0.06, 0.65, 0.58]",Timed Triggers,No Errors,Precise Placement
Human,,1170x2532,Android,,"Apple M1, Integrated GPU",Unique,"WebGL Plugin, DRM Plugin",Unique Hash,UTC-5,172.16.x.x,100 Mbps,Not Detected,Erratic,"[1.2, 1.7, 1.7]",Varies Depending on Content,Slightly Hard Press,,"[42.7, 18.5, 52.7]",Pause After Action,Varied Typing Speed,Hesitant
Bot,Googlebot/2.1 (+http://www.google.com/bot.html),800x600,Linux,en-US,Generic CPU/GPU,Repeated,No Plugins Detected,Same Hash,Spoofed,Proxy/VPN IP,Burst Mode,Detected,No Movement,"[0.4, 0.5, 0.6]",Full Scroll Immediately,Constant Pressure,"[0.1, 0.1, 0.3]","[0.8, 0.2, 0.3]",Continuous Activity,,Precise Placement
Human,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15,828x1792,Linux,en-GB,"Apple M1, Integrated GPU",Unique,"Java Applet Plugin, PDF Viewer",Unique Hash,UTC-7,192.168.x.x,20 Mbps,Not Detected,Hovering,"[0.6, 2.1, 2.8]",Varies Depending on Content,Varied Pressure Levels,"[2.4, 2.1, 4.5]","[58.8, 31.4, 41.2]",Pause After Action,Occasional Errors,Small Adjustments
Human,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15,1440x900,Windows 10,en-US,"Intel Core i5, Intel Iris Xe",Unique,"PDF Viewer, Shockwave Flash",Unique Hash,UTC-7,172.16.x.x,50 Mbps,Not Detected,Occasional Pauses,"[1.6, 2.1, 0.9]",Multiple Scrolls,Natural Touch,"[4.4, 4.2, 3.1]","[11.1, 42.8, 56.9]",,Occasional Errors,Hover Flickers
Bot,HeadlessChrome/88.0.4324.96,1024x768 RANDOM_TEXT,Linux,de-DE,Emulated GPU,Repeated,Emulated Flash,Same Hash,UTC+0,Spoofed IP,Unrealistic Speed,Detected,Predictable Paths,"[0.29, 0.36, 0.55]",Instant Scroll,No Touch Data,"[0.3, 0.5, 0.2]","[0.3, 1.0, 0.4]",Continuous Activity,Perfect Rhythm,No Jitter
Human,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15,2560x1440,,fr-FR,"Intel Core i7, NVIDIA GeForce GTX 1660",Unique,"WebGL Plugin, DRM Plugin",Unique Hash,UTC+8,192.168.x.x,200 bMps,Not Detected,Occasional Pauses,"[2.5, 2.0, 1.5]",Varies Depending on Content,Slightly Hard Press,"[1.7, 2.4, 3.0]","[16.5, 49.6, 35.5]",Bursts of Activity,Vaired Typing Speed,Small Adjustments
Bot,curl/7.64.1,1024x768,Unknown,en-GB,Unknown,Repeated,Basic Plugins,Same Hash,Randomized,Datacenter IP,Low Latency Bot,,Too Precise,"[0.5, 0.5, 0.4]",Jump to Bottom,Same Pressure,"[0.3, 0.4, 0.1]","[0.6, 0.2, 0.8]",No Breaks,Perfect Rhythm,Snaps to Target
Human,Mozilla/5.0 (Linux; Android 10) Chrome/90.0.4430.210 Mobile Safari/537.36,,Windows 11,fr-FR,"Intel Core i5, Intel Iris Xe",Unique,"WebGL Plugin, DRM Plugin",Unique Hash,UTC+3,10.0.x.x,200 Mbps,Not Detected,"Smooth, Curved Movements","[1.6, 1.1, 1.7]",Varies Depending on Content,Natural Touch,"[2.5, 2.2, 1.5]","[30.2, 30.1, 43.7]",Bursts of Activity,Natural Pauses,Hesitant
Human,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15 RANDOM_TEXT,1280x800,Windows 11,en-US,"Intel Core i7, NVIDIA GeForce GTX 1660",,"WebGL Plugin, DRM Plugin",Unique Hash,UTC8+,10.0.x.x,20 Mbps,Not Detected,Hovering,"[1.9, 0.5, 2.5]",Partial Scroll,Slightly Hard Press,"[3.6, 3.3, 2.1]","[28.37, 16.51, 10.83]",Bursts of Activity,Occasional Errors,Small Adjustments
Bot,HeadlessChrome/88.0.4324.96,9999x9999,Unknown,en-GB,No GPU Info,Repeated,No Plugins Detected,Same Hash,,,Burst Mode,Detected,Too Precise,"[0.5, 0.5, 0.5]",Full Scroll Immediately,Same Pressure,"[0.4, 0.1, 0.3]","[0.7, 0.8, 0.9]",Timed Triggers,Constant Typing Speed,No Jitter
Bot,Scrapy/2.4.1 (+https://scrapy.org),640x480,Linux,fr-FR,Generic CPU/GPU,Repeated,Basic Plugins,Same Hash,UTC+0,Spoofed IP,Low Latency Bot,Detected,Too Prceise,"[0.4, 0.6, 0.5]",No Scroll,Constant Pressure,"[0.38, 0.6, 0.39]","[0.2, 0.3, 0.6]",No Breaks,Perfect Rhythm,Precise Placement
Bot,Scrapy/2.4.1 (+https://scrapy.org),640x480,Linux,es-ES,Virtual CPU,Repeated,Basic Plugins,Same Hash,Randomized,IPv6 Tunnel ###,Low Latency Bot,Detected,Linear Moveemnts,"[0.4, 0.5, 0.5]",No Scroll,Same Pressure,"[0.5, 0.5, 0.2]","[0.4, 0.7, 1.0]",Continuous Activity,Perfect Rhythm,Snaps to Target
Bot,HeadlessChrome/88.0.4324.96,1024x768,Unknown,de-DE,Emulated GPU,Repeated,Basic Plugins,Same Hash,Randomized,Proxy/VPN IP,Burst Mode,Detected,Too Precise,"[0.6, 0.5, 0.4]",No Scroll,Same Pressure,"[0.2, 0.4, 0.4]","[0.2, 0.3, 0.7]",Continuous Activity,,Precise Placement
Bot,Scrapy/2.4.1 (+https://scrapy.org),9999x9999,Linux,en-US,No GPU Info,Repeated ###,No Plugins Detected,Same Hash,Randomized,Spoofed IP,High Speed,Detected,Too Precise,"[0.6, 0.4, 0.4]",Full Scroll Immediately,Emulated Pressure,"[0.4, 0.3, 0.4]","[0.2, 0.6, 0.6]",,Constant Typing Speed,No Jitter
Human,,1600x900,iWndows 10,es-ES,"Intel Core i7, NVIDIA GeForce GTX 1660",Unique,"WebGL Plugin, DRM Plugin",Unique Hash,UTC-5,192.168.x.x,200 Mbps,Not Detected,Hovering,"[0.7, 2.5, 0.9]",Varies Depending on Content,Light Tap,"[5.0, 1.5, 2.5]","[29.6, 36.0, 18.4]",Bursts of Activity,Varied Typing Speed,Hover Flickers
Bot,curl/7.64.1,640x480,Linux,de-DE,Unknown,Repeated,,Same Hash,,Datacenter IP,Burst Mode,Detected,Predictable Paths,"[0.6, 0.5, 0.5]",No Scroll,Emulated Pressure,"[0.1, 0.4, 0.4]","[0.4, 0.9, 0.1]",Timed Triggers,No Errors,No Jitter
Human,Python-urllib/3.9,1024x768,Linux,es-ES,Emulated GPU,Repeated,Emulated Flash,Same Hash,No Timezone Info,Spoofed IP,Low Latency Bot,Detected,Predictable Paths,"[0.62, 0.43, 0.33]",No Scroll $$$,No Touch Data,"[0.3, 0.1, 0.4]","[0.1, 0.6, 0.2]",Timed Trgigers,No Errors,No Jitter
Human,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15,828x1792,Windows 10,es-ES,"Intel Core i5, Intel Iris Xe",Unique,"PDF Viewer, Shockwave Flash",Unique Hash,UTC-5,192.168.x.x,50 Mbps,Not Detected,"Smooth, Curved Movements","[2.4, 0.8, 2.4]",Slow Scroll,Varied Pressure Levels,"[4.2, 2.7, 4.3]","[43.8, 24.8, 11.8]",Bursts of Activity,Occasional Errors,Hesitant
Human,Mozilla/5.0 (Linux; Android 10) Chrome/90.0.4430.210 Mobile Safari/537.36 RANDOM_TEXT,1280x800,Windows 11,fr-FR,"Intel Core i5, Intel Iris Xe",Unique,"PDF Viewer, Shockwave Flash",Unique Hash,UTC-5,192.168.x.x,75 Mbps,Not Detected,Occasional Pauses,"[1.3, 2.4, 1.5]",Slwo Scroll,Light Tap,"[1.2, 4.1, 1.7]","[55.2, 16.8, 11.6]",Pause After Action,Natural Pauses,Jittery Movements
Human,Mozilla/5.0 (Linux; Android 10) Chrome/90.0.4430.210 Mobile Safari/573.36,1280x800,iOS,de-DE,"Intel Core i9, NVIDIA RTX 3070",Uniqeu,"WebGL Plugin, DRM Plugin",Unique Hash,UTC+3,172.16.x.x,20 Mbps,Not Detected,"Smooth, Curved Movements","[1.3, 3.0, 2.6]",Slow Scroll,Slightly Hard Press,"[4.8, 2.3, 3.2]","[55.4, 28.7, 42.7]",Periodic Inactivity,Varied Typing Speed,Jittery Movements
Human,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0,828x1792,Windows 10,en-GB,"Intel Core i5, Intel Iris Xe",Unique,"WebGL Plugin, DRM Plugin",,UTC+1,172.16.x.x,20 Mbps,Not Detected,"Smooth, Curved Movements","[1.2, 1.5, 1.4]",Partial Scroll,Light Tap,"[4.2, 1.7, 4.2]","[25.1, 40.3, 32.1]",Pause After Action,Varied Typing Speed,Hesitant
Human,Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) Safari/604.1,1600x900,iOS,es-ES,"Apple M1, IntegratedG PU",Unique,"PDF Viewer, Shockwave Flash",Unique Hash,UTC+3,100..x.x,100 Mbps,Not Detected,"Smooth, Curved Movements","[1.3, 1.5, 1.7]",Slow Scroll,Slightly Hard Press,"[4.0, 3.1, 3.1]","[23.2, 12.6, 15.9]",Pause After Action,Varied Typing Speed,
Bot,Googlebot/2.1 (+http://www.google.com/bot.html),800x600,Linux,fr-FR,Virtual CPU,Repeated,,Same Hash,No Timezone Info,Proxy/VPN IP,Unrealistic Speed,Detected,Too Precise,,Instant Scroll,No Touch Data,"[0.27, 0.04, 0.36]","[0.9, 0.4, 0.7]",Timed Triggers,No Errors,Precise Placement
Human,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/96.0.4664.110,1920x1080,Windows 10,en-GB,"Intel Core i5, Intel Iris Xe",Unique,"WebGL Plugin, DRM Plugin",Unique Hash,UTC+1,172.16.x.x,100 Mbps,Not Detected,Occasional Pauses,"[1.4, 2.6, 0.9]",Varies Depending on Content,Natural Touch,,"[13.2, 15.2, 15.7]",Periodic Inactivity ###,Occasional Errors,Small Adjustments
Bot,Googlebot/2.1 (+http://www.google.com/bot.html),320x240,Custom OS,de-DE,Unknown,Repaeted,No Plugins Detected,Same Hash,Randomized,Spoofed IP,High Speed,Detected,Linear Movements,"[0.5, 0.4, 0.6]",No Scroll,Emulated Pressure,"[0.2, 0.3, 0.2]","[1.0, 0.3, 0.9]",No Breaks,No Errors,No Jitter
Human,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0,1536x864,Android RANDOM_TEXT,en-US,"Intel Core i5, Intel Iris Xe",Unique,"Java Applet Plugin, PDF Viewer",Unique Hash,UTC+3,192.168.x.x,75 Mbps,,"Smooth, Curved Movements","[0.72, 2.64, 0.96]",Slow Scroll,Light Tap,"[2.0, 1.0, 1.5]","[40.7, 14.1, 58.2]",Bursts of Activity,Natural Pauses,Jittery Movements
